#load scaling coefficitent	 mean delay 
1.111111	0.415079	1.111111	0.531274	1.111111	6.257464	1.111111	0.761802	1.111111	0.459410
1.131313	0.449322	1.131313	0.589125	1.131313	6.330578	1.131313	0.861003	1.131313	0.494334
1.151515	0.481133	1.151515	0.641076	1.151515	6.399553	1.151515	0.989482	1.151515	0.535891
1.171717	0.518053	1.171717	0.709825	1.171717	6.488189	1.171717	1.156735	1.171717	0.584869
1.191919	0.559823	1.191919	0.792534	1.191919	6.568143	1.191919	1.304913	1.191919	0.628776
1.212121	0.604463	1.212121	0.864309	1.212121	6.654206	1.212121	1.594273	1.212121	0.681902
1.232323	0.651855	1.232323	0.939955	1.232323	6.733969	1.232323	1.865159	1.232323	0.741198
1.252525	0.694117	1.252525	1.058959	1.252525	6.821324	1.252525	2.214583	1.252525	0.794207
1.272727	0.751447	1.272727	1.166723	1.272727	6.908712	1.272727	2.723531	1.272727	0.867476
1.292929	0.806761	1.292929	1.303984	1.292929	7.010059	1.292929	3.294062	1.292929	0.932636
1.313131	0.875090	1.313131	1.428105	1.313131	7.096362	1.313131	4.204422	1.313131	1.028964
1.333333	0.939141	1.333333	1.605755	1.333333	7.210033	1.333333	5.666992	1.333333	1.105468
1.353535	1.011620	1.353535	1.779372	1.353535	7.315313	1.353535	7.201838	1.353535	1.209510
1.373737	1.078466	1.373737	1.982470	1.373737	7.419532	1.373737	9.276680	1.373737	1.321767
1.393939	1.176713	1.393939	2.227921	1.393939	7.544833	1.393939	14.665801	1.393939	1.438457
1.414141	1.270021	1.414141	2.483490	1.414141	7.649356	1.414141	20.055544	1.414141	1.562483
1.434343	1.369055	1.434343	2.770843	1.434343	7.782029	1.434343	35.750807	1.434343	1.727988
1.454545	1.486297	1.454545	3.083738	1.454545	7.920564	1.454545	70.419983	1.454545	1.873978
1.474747	1.584449	1.474747	3.490209	1.474747	8.078626	1.474747	186.130865	1.474747	2.045222
1.494949	1.731782	1.494949	3.943982	1.494949	8.230807	1.494949	3273.484851	1.494949	2.233459
1.515152	1.865715	1.515152	4.325511	1.515152	8.408044	1.494949	inf	1.515152	2.484239
1.535354	2.005730	1.535354	4.969585	1.535354	8.582184	1.515152	inf	1.535354	2.692585
1.555556	2.188265	1.555556	5.559780	1.555556	8.833224	1.535354	inf	1.555556	2.982600
1.575758	2.404513	1.575758	6.198857	1.575758	9.008817	1.555556	inf	1.575758	3.297614
1.595960	2.639514	1.595960	6.955659	1.595960	9.310231	1.575758	inf	1.595960	3.644617
1.616162	2.914197	1.616162	7.920941	1.616162	9.633623	1.595960	inf	1.616162	4.084597
1.636364	3.175496	1.636364	8.965704	1.636364	9.939672	1.616162	inf	1.636364	4.510748
1.656566	3.515081	1.656566	10.167244	1.656566	10.389468	1.636364	inf	1.656566	5.031746
1.676768	3.809959	1.676768	11.746617	1.676768	10.896713	1.656566	inf	1.676768	5.715240
1.696970	4.283683	1.696970	13.241316	1.696970	11.504938	1.676768	inf	1.696970	6.402523
1.717172	4.824865	1.717172	15.624268	1.717172	12.296709	1.696970	inf	1.717172	7.226482
1.737374	5.612998	1.737374	17.671150	1.737374	13.484239	1.717172	inf	1.737374	8.870519
1.757576	6.517200	1.757576	21.373158	1.757576	15.447919	1.737374	inf	1.757576	10.530434
1.777778	7.787631	1.777778	26.512345	1.777778	18.048584	1.757576	inf	1.777778	12.464726
1.797980	9.719665	1.797980	40.447843	1.797980	23.911973	1.777778	inf	1.797980	16.034672
1.818182	12.557233	1.818182	285.257112	1.818182	208.280898	1.797980	inf	1.818182	23.469337
1.838384	17.630396	1.818182	inf	1.818182	inf	1.818182	inf	1.838384	34.485577
1.858586	44.747349	1.838384	inf	1.838384	inf	1.838384	inf	1.858586	83.900075
1.878788	1926.434789	1.858586	inf	1.858586	inf	1.858586	inf	1.878788	4565.711069
1.878788	inf	1.878788	inf	1.878788	inf	1.878788	inf	1.878788	inf
1.898990	inf	1.898990	inf	1.898990	inf	1.898990	inf	1.898990	inf
1.919192	inf	1.919192	inf	1.919192	inf	1.919192	inf	1.919192	inf
1.939394	inf	1.939394	inf	1.939394	inf	1.939394	inf	1.939394	inf
1.959596	inf	1.959596	inf	1.959596	inf	1.959596	inf	1.959596	inf
1.979798	inf	1.979798	inf	1.979798	inf	1.979798	inf	1.979798	inf
