#timeslot	 max ID in flow 1-max ID ACKed in flow 1	 max ID in flow 2-max ID ACKed in flow 2
535	20	20
536	24	18
537	23	18
538	24	18
539	27	19
540	26	19
541	26	21
542	30	21
543	32	22
544	33	24
545	35	27
546	36	28
547	37	29
548	40	30
549	42	31
550	44	31
551	46	35
552	48	36
553	51	36
554	52	36
555	53	38
556	54	38
557	29	18
558	27	22
559	25	23
560	26	19
561	27	20
562	31	21
563	29	18
564	30	18
565	33	18
566	34	19
567	36	15
568	38	16
569	30	13
570	28	11
571	26	12
572	26	14
573	24	15
574	22	12
575	24	13
576	23	14
577	21	16
578	21	16
579	24	16
580	25	18
581	27	13
582	27	14
583	28	12
584	20	12
585	20	10
586	22	10
587	20	10
588	21	12
589	22	12
590	21	12
591	23	15
592	26	18
593	26	12
594	28	11
595	28	11
596	28	14
597	31	14
598	34	15
599	35	18
600	26	20
601	27	22
602	30	25
603	31	25
604	36	26
605	37	28
606	38	28
607	41	29
608	43	30
609	44	31
610	47	33
611	52	35
612	53	37
613	54	38
614	56	40
615	60	40
616	60	40
617	61	41
618	67	41
619	69	43
620	70	45
621	70	46
622	71	46
623	32	13
624	32	12
625	32	14
626	32	17
627	31	14
628	30	16
629	30	16
630	34	17
631	32	19
632	31	21
633	31	22
634	32	24
635	34	13
636	35	16
637	36	16
638	36	18
639	39	18
640	40	20
641	41	20
642	44	21
643	27	22
644	29	24
645	32	24
646	30	26
647	32	27
648	32	14
649	33	15
650	30	15
651	30	16
652	31	16
653	33	16
654	29	16
655	27	18
656	29	18
657	29	20
658	34	2
659	35	3
660	36	2
661	37	3
662	39	3
663	41	7
664	43	8
665	45	3
666	47	5
667	49	6
668	49	9
669	52	10
670	29	7
671	29	9
672	30	11
673	31	11
674	31	11
675	34	10
676	36	12
677	36	15
678	38	16
679	39	18
680	41	21
681	43	21
682	46	24
683	47	27
684	48	29
685	52	30
686	26	10
687	27	11
688	28	12
689	29	14
690	32	12
691	33	11
692	25	10
693	29	9
694	31	10
695	34	11
696	39	12
697	43	12
698	44	8
699	49	10
700	50	14
701	53	16
702	55	18
703	42	19
704	45	19
705	50	20
706	50	21
707	56	21
708	59	22
709	59	22
710	59	23
711	59	24
712	46	6
713	48	8
714	50	8
715	54	6
716	56	8
717	47	5
718	45	3
719	46	1
720	46	0
721	47	1
722	46	2
723	46	3
724	44	4
725	44	2
726	43	4
727	45	7
728	46	8
729	48	4
730	48	3
731	51	6
732	54	7
733	55	9
734	58	7
735	61	9
736	62	10
737	65	3
738	67	2
739	47	1
740	47	3
741	47	2
742	41	0
743	41	0
744	41	1
745	42	4
746	45	5
747	47	6
748	47	2
749	49	2
750	40	0
751	39	0
752	40	0
753	38	1
754	39	1
755	39	1
756	37	3
757	40	8
758	43	8
759	45	10
760	47	11
761	48	11
762	48	14
763	50	14
764	51	15
765	53	17
766	57	17
767	58	18
768	60	18
769	64	21
770	66	21
771	69	22
772	72	23
773	72	27
774	72	28
775	76	28
776	78	29
777	80	34
778	82	36
779	85	36
780	85	36
781	85	37
782	86	42
783	91	44
784	92	46
785	94	50
786	97	52
787	99	53
788	103	54
789	58	14
790	62	14
791	65	12
792	65	12
793	67	11
794	68	11
795	68	8
796	68	11
797	70	11
798	73	12
799	73	8
800	76	6
801	78	5
802	47	5
803	47	6
804	50	11
805	52	12
806	53	12
807	55	14
808	56	15
809	58	14
810	58	13
811	40	15
812	38	13
813	38	14
814	37	15
815	36	11
816	36	11
817	35	11
818	37	11
819	37	11
820	37	11
821	38	11
822	38	8
823	40	10
824	37	10
825	38	12
826	39	12
827	40	12
828	44	12
829	45	13
830	47	13
831	48	16
832	52	7
833	53	7
834	54	8
835	55	10
836	56	10
837	56	12
838	57	11
839	58	11
840	61	16
841	30	18
842	33	20
843	34	14
844	36	15
845	41	16
846	36	19
847	35	20
848	35	22
849	36	16
850	37	19
851	38	17
852	38	16
853	39	17
854	40	17
855	41	18
856	43	20
857	31	20
858	33	22
859	36	24
860	30	28
861	33	28
862	34	29
863	35	19
864	35	21
865	36	22
866	38	23
867	38	25
868	39	26
869	42	26
870	42	26
871	44	29
872	45	30
873	46	31
874	46	32
875	46	35
876	46	37
877	50	38
878	50	40
879	50	41
880	51	44
881	52	45
882	54	46
883	57	46
884	41	19
885	17	20
886	15	23
887	18	14
888	20	14
889	23	16
890	24	18
891	25	20
892	26	23
893	20	25
894	19	26
895	20	28
896	21	19
897	23	20
898	23	21
899	25	21
900	28	23
901	28	22
902	30	21
903	30	21
904	15	19
905	16	19
906	17	21
907	16	24
908	16	24
909	16	26
910	17	27
911	19	28
912	21	20
913	22	23
914	16	22
915	17	21
916	18	21
917	20	23
918	22	24
919	23	22
920	24	24
921	26	22
922	27	21
923	16	22
924	18	22
925	19	24
926	20	26
927	20	29
928	23	28
929	23	31
930	25	32
931	27	36
932	29	36
933	30	38
934	30	39
935	31	40
936	35	42
937	37	44
938	38	44
939	38	45
940	9	46
941	10	46
942	13	48
943	16	27
944	17	27
945	9	29
946	10	32
947	9	34
948	9	34
949	7	38
950	8	40
951	10	40
952	9	27
953	8	30
954	8	31
955	9	31
956	11	35
957	13	38
958	14	39
959	15	39
960	18	30
961	18	29
962	19	29
963	23	28
964	25	29
965	27	29
966	4	31
967	7	32
968	10	32
969	11	25
970	15	28
971	19	33
972	23	37
973	26	40
974	27	42
975	27	42
976	27	32
977	28	30
978	11	30
979	12	30
980	17	29
981	17	30
982	18	31
983	9	32
984	10	34
985	11	35
986	13	28
987	15	30
988	15	31
989	16	32
990	18	33
991	18	34
992	21	36
993	24	36
994	26	39
995	27	39
996	27	39
997	30	40
998	32	44
999	34	46
1000	36	49
1001	39	49
1002	9	22
1003	8	24
1004	6	26
1005	5	28
1006	5	29
1007	4	30
1008	4	31
1009	3	30
1010	1	30
1011	1	28
1012	3	31
1013	4	29
1014	8	30
1015	9	32
1016	9	34
1017	12	27
1018	14	30
1019	14	30
1020	16	27
1021	19	27
1022	20	28
1023	22	28
1024	25	26
1025	26	27
1026	0	26
1027	0	24
1028	1	24
1029	4	25
1030	6	26
1031	6	27
1032	7	28
1033	7	30
1034	8	30
1035	8	23
1036	9	21
1037	10	23
1038	11	25
1039	16	25
1040	17	27
1041	18	28
1042	22	29
1043	11	30
1044	12	33
1045	14	34
1046	17	27
1047	17	31
1048	20	32
1049	22	33
1050	25	36
1051	25	39
1052	29	40
1053	32	43
1054	36	43
1055	39	46
1056	39	49
1057	43	52
1058	46	54
1059	24	31
1060	27	33
1061	29	38
1062	30	39
1063	32	40
1064	32	40
1065	34	42
1066	37	43
1067	39	43
1068	40	45
1069	42	48
1070	45	50
1071	46	52
1072	49	54
1073	52	55
1074	53	55
1075	56	57
1076	58	60
1077	62	64
1078	65	66
1079	65	66
1080	68	67
1081	69	69
1082	71	70
1083	73	70
1084	73	73
1085	76	74
1086	77	75
1087	27	40
1088	26	41
1089	28	41
1090	29	42
1091	31	42
1092	32	44
1093	33	45
1094	34	46
1095	37	47
1096	40	48
1097	43	48
1098	44	49
1099	44	51
1100	46	52
1101	48	52
1102	51	53
1103	52	54
1104	33	37
1105	35	33
1106	35	31
1107	37	30
1108	41	30
1109	30	29
1110	31	29
1111	29	28
1112	29	29
1113	27	29
1114	29	31
1115	29	32
1116	32	33
1117	32	30
1118	34	30
1119	34	33
1120	38	33
1121	39	33
1122	39	34
1123	41	37
1124	41	40
1125	42	43
1126	43	43
1127	44	45
1128	49	46
1129	51	48
1130	54	50
1131	57	51
1132	59	53
1133	66	56
1134	69	57
1135	71	58
1136	71	60
1137	73	62
1138	73	63
1139	73	66
1140	73	66
1141	74	66
1142	76	66
1143	77	70
1144	78	72
1145	81	72
1146	81	73
1147	81	74
1148	81	74
1149	83	74
1150	85	74
1151	89	75
1152	90	78
1153	95	83
1154	97	87
1155	98	88
1156	35	36
1157	37	38
1158	28	38
1159	32	39
1160	29	42
1161	28	43
1162	32	47
1163	35	47
1164	32	47
1165	31	47
1166	32	26
1167	33	26
1168	31	26
1169	32	27
1170	32	29
1171	33	31
1172	33	25
1173	35	26
1174	35	28
1175	35	26
1176	36	27
1177	27	27
1178	29	28
1179	29	21
1180	30	23
1181	33	24
1182	36	24
1183	40	26
1184	40	27
1185	43	27
1186	43	23
1187	27	26
1188	30	30
1189	33	29
1190	34	30
1191	34	30
1192	25	29
1193	28	28
1194	31	27
1195	31	27
1196	32	26
1197	33	29
1198	34	29
1199	38	28
1200	38	28
1201	41	29
1202	41	29
1203	42	25
1204	44	24
1205	44	25
1206	49	25
1207	52	25
1208	54	27
1209	57	23
1210	58	24
1211	61	25
1212	25	28
1213	24	31
1214	24	31
1215	25	35
1216	26	35
1217	25	36
1218	30	38
1219	33	38
1220	33	21
1221	34	24
1222	37	25
1223	39	25
1224	42	26
1225	43	29
1226	46	32
1227	47	36
1228	51	39
1229	52	40
1230	53	42
1231	54	44
1232	56	45
1233	57	46
1234	58	47
1235	59	48
1236	63	49
1237	64	49
1238	65	52
1239	68	54
1240	70	54
1241	72	56
1242	73	58
1243	77	58
1244	78	62
1245	80	63
1246	81	66
1247	83	68
1248	85	69
1249	86	69
1250	90	71
1251	90	73
1252	95	75
1253	100	75
1254	102	76
1255	105	77
1256	107	79
1257	108	82
1258	109	85
1259	113	85
1260	113	86
1261	116	87
1262	117	88
1263	120	88
1264	121	89
1265	122	92
1266	124	95
1267	125	98
1268	128	99
1269	131	100
1270	131	101
1271	132	104
1272	134	106
1273	135	107
1274	136	108
1275	136	112
1276	137	114
1277	140	117
1278	30	32
1279	28	33
1280	29	35
1281	28	37
1282	28	39
1283	30	41
1284	32	42
1285	28	34
1286	28	36
1287	29	40
1288	32	41
1289	35	42
1290	36	43
1291	38	44
1292	31	35
1293	30	36
1294	29	39
1295	30	39
1296	32	39
1297	32	32
1298	33	31
1299	34	31
1300	40	32
1301	29	33
1302	29	33
1303	30	34
1304	32	37
1305	32	29
1306	32	32
1307	33	35
1308	35	35
1309	26	36
1310	29	38
1311	33	33
1312	35	33
1313	36	34
1314	36	32
1315	39	34
1316	41	35
1317	34	35
1318	35	35
1319	37	35
1320	39	36
1321	43	37
1322	44	38
1323	47	40
1324	49	41
1325	50	41
1326	53	43
1327	55	44
1328	55	46
1329	58	48
1330	60	50
1331	63	52
1332	66	54
1333	67	54
1334	69	55
1335	70	56
1336	73	58
1337	74	62
1338	76	64
1339	76	66
1340	79	66
1341	82	67
1342	85	68
1343	86	70
1344	31	25
1345	35	26
1346	37	27
1347	37	25
1348	37	24
1349	37	26
1350	39	28
1351	41	24
1352	43	24
1353	28	25
1354	27	28
1355	26	27
1356	26	29
1357	30	31
1358	37	31
1359	43	32
1360	35	26
1361	36	28
1362	38	30
1363	42	31
1364	44	32
1365	48	32
1366	48	33
1367	39	32
1368	40	32
1369	41	34
1370	45	32
1371	49	33
1372	50	34
1373	52	36
1374	53	37
1375	55	37
1376	58	40
1377	58	42
1378	60	43
1379	62	45
1380	63	45
1381	63	46
1382	65	49
1383	66	50
1384	68	51
1385	71	52
1386	76	53
1387	78	55
1388	79	57
1389	85	60
1390	85	61
1391	53	42
1392	54	43
1393	55	30
1394	56	29
1395	56	27
1396	43	29
1397	44	28
1398	46	27
1399	50	27
1400	51	27
1401	53	30
1402	56	29
1403	58	29
1404	61	31
1405	65	27
1406	67	28
1407	46	29
1408	44	33
1409	44	34
1410	43	38
1411	42	30
1412	42	30
1413	44	31
1414	45	29
1415	45	30
1416	38	30
1417	40	30
1418	43	31
1419	46	32
1420	47	34
1421	48	34
1422	49	35
1423	51	39
1424	52	39
1425	53	41
1426	56	41
1427	59	43
1428	60	43
1429	61	45
1430	61	46
1431	61	51
1432	63	52
1433	64	52
1434	68	52
1435	68	54
1436	70	57
1437	75	58
1438	77	61
1439	80	64
1440	80	64
1441	80	66
1442	82	68
1443	83	70
1444	88	75
1445	44	38
1446	44	40
1447	46	37
1448	50	38
1449	44	38
1450	44	37
1451	43	38
1452	43	41
1453	43	42
1454	44	39
1455	47	38
1456	43	37
1457	47	38
1458	48	39
1459	49	39
1460	52	42
1461	54	43
1462	54	39
1463	56	39
1464	57	39
1465	58	38
1466	59	36
1467	60	36
1468	62	37
1469	66	38
1470	67	39
1471	68	40
1472	70	39
1473	74	41
1474	77	37
1475	78	36
1476	42	35
1477	40	35
1478	41	35
1479	40	36
1480	42	36
1481	44	38
1482	45	38
1483	47	31
1484	49	35
1485	49	36
1486	41	38
1487	42	39
1488	43	32
1489	44	30
1490	46	32
1491	48	32
1492	52	34
1493	55	35
1494	39	31
1495	37	33
1496	36	34
1497	39	35
1498	42	31
1499	43	29
1500	43	27
1501	43	28
1502	44	29
1503	45	31
1504	33	33
1505	34	33
1506	32	26
1507	31	25
1508	29	24
1509	27	22
1510	26	21
1511	28	22
1512	31	25
1513	36	24
1514	36	26
1515	36	28
1516	37	28
1517	39	29
1518	42	27
1519	42	27
1520	43	25
1521	43	27
1522	46	31
1523	47	31
1524	49	29
1525	49	25
1526	49	23
1527	50	24
1528	51	24
1529	51	21
1530	51	21
1531	52	22
1532	52	23
1533	54	25
1534	58	17
1535	60	16
1536	65	17
1537	18	16
1538	19	16
1539	21	17
1540	21	18
1541	19	20
1542	21	18
1543	21	17
1544	21	17
1545	20	18
1546	20	18
1547	20	21
1548	19	13
1549	20	14
1550	24	14
1551	25	14
1552	28	15
1553	31	17
1554	27	18
1555	28	20
1556	27	23
1557	29	24
1558	30	24
1559	30	26
1560	31	28
1561	33	31
1562	29	31
1563	29	32
1564	30	7
1565	29	7
1566	29	8
1567	29	6
1568	32	7
1569	31	7
1570	30	3
1571	29	4
1572	31	7
1573	31	9
1574	33	7
1575	35	7
1576	35	5
1577	35	6
1578	36	3
1579	39	5
1580	40	7
1581	43	7
1582	43	9
1583	45	6
1584	45	7
1585	48	6
1586	21	7
1587	23	8
1588	25	11
1589	26	12
1590	30	12
1591	32	13
1592	32	18
1593	32	20
1594	33	21
1595	17	14
1596	17	12
1597	17	11
1598	17	13
1599	18	13
1600	19	13
1601	23	13
1602	25	14
1603	19	15
1604	20	16
1605	23	9
1606	25	10
1607	25	10
1608	30	11
1609	31	12
1610	36	12
1611	37	12
1612	39	12
1613	42	14
1614	43	15
1615	45	18
1616	46	19
1617	47	22
1618	49	22
1619	51	22
1620	51	24
1621	52	25
1622	52	25
1623	54	27
1624	54	29
1625	59	33
1626	61	34
1627	56	7
1628	59	5
1629	61	9
1630	62	8
1631	63	9
1632	64	9
1633	66	7
1634	68	7
1635	68	8
1636	69	9
1637	70	10
1638	71	11
1639	71	12
1640	73	13
1641	74	14
1642	75	14
1643	78	14
1644	81	14
1645	82	14
1646	84	15
1647	85	16
1648	91	1
1649	91	1
1650	94	3
1651	97	5
1652	98	2
1653	98	1
1654	98	2
1655	100	5
1656	102	5
1657	18	8
1658	19	9
1659	20	9
1660	21	10
1661	21	13
1662	21	13
1663	24	14
1664	24	17
1665	26	19
1666	28	23
1667	31	23
1668	34	24
1669	35	26
1670	35	27
1671	35	28
1672	37	29
1673	39	32
1674	42	33
1675	46	37
1676	50	39
1677	51	39
1678	51	39
1679	51	40
1680	52	41
1681	53	43
1682	54	44
1683	56	45
1684	58	47
1685	58	47
1686	64	49
1687	67	50
1688	67	52
1689	67	54
1690	69	55
1691	71	56
1692	73	58
1693	76	59
1694	78	59
1695	80	60
1696	81	62
1697	83	62
1698	86	62
1699	86	64
1700	87	70
1701	89	73
1702	91	75
1703	91	77
1704	94	78
1705	96	79
1706	96	80
1707	5	12
1708	4	14
1709	5	16
1710	8	7
1711	8	7
1712	10	7
1713	13	11
1714	14	11
1715	16	7
1716	18	8
1717	20	9
1718	3	4
1719	4	4
1720	5	6
1721	6	7
1722	7	11
1723	9	13
1724	12	18
1725	14	18
1726	16	18
1727	21	18
1728	25	19
1729	30	20
1730	32	22
1731	32	24
1732	34	26
1733	35	28
1734	38	29
1735	40	31
1736	43	32
1737	44	34
1738	44	35
1739	47	38
1740	48	39
1741	48	41
1742	50	42
1743	50	44
1744	50	46
1745	54	48
1746	54	48
1747	54	50
1748	54	51
1749	56	53
1750	62	56
1751	63	57
1752	67	58
1753	68	60
1754	68	62
1755	69	63
1756	73	63
1757	74	64
1758	76	66
1759	78	67
1760	80	68
1761	82	68
1762	83	69
1763	83	70
1764	84	73
1765	84	75
1766	86	77
1767	89	77
1768	90	78
1769	16	8
1770	18	9
1771	20	9
1772	5	11
1773	7	12
1774	6	12
1775	6	12
1776	7	15
1777	10	18
1778	10	18
1779	10	19
1780	12	20
1781	7	22
1782	8	22
1783	10	22
1784	11	25
1785	11	26
1786	11	7
1787	0	0
1788	1	0
1789	5	1
1790	5	0
1791	3	0
1792	2	1
1793	2	2
1794	2	4
1795	2	7
1796	0	1
1797	0	0
1798	0	0
1799	2	0
1800	1	1
1801	0	2
1802	1	1
1803	3	3
1804	3	5
1805	5	8
1806	6	10
1807	9	11
1808	9	12
1809	10	12
1810	12	14
1811	14	17
1812	15	18
1813	16	19
1814	18	22
1815	19	23
1816	19	24
1817	21	25
1818	21	27
1819	0	0
1820	1	1
1821	1	5
1822	1	7
1823	3	4
1824	3	5
1825	4	6
1826	8	8
1827	10	9
1828	13	12
1829	15	13
1830	15	15
1831	4	20
1832	4	21
1833	5	21
1834	8	22
1835	11	23
1836	11	12
1837	13	13
1838	14	12
1839	15	14
1840	15	15
1841	15	17
1842	17	20
1843	18	21
1844	19	23
1845	23	16
1846	23	16
1847	23	15
1848	26	17
1849	8	17
1850	10	18
1851	11	19
1852	7	5
1853	7	6
1854	7	8
1855	6	10
1856	5	12
1857	6	13
1858	7	14
1859	7	17
1860	2	13
1861	5	13
1862	7	13
1863	8	14
1864	9	16
1865	13	12
1866	17	14
1867	18	15
1868	15	17
1869	17	17
1870	19	18
1871	22	20
1872	22	21
1873	22	21
1874	23	21
1875	24	21
1876	26	22
1877	27	22
1878	27	24
1879	31	26
1880	33	28
1881	34	31
1882	1	8
1883	1	8
1884	4	10
1885	1	13
1886	0	15
1887	1	18
1888	1	8
1889	0	11
1890	1	13
1891	1	16
1892	0	16
1893	0	17
1894	2	19
1895	3	19
1896	5	21
1897	5	0
1898	0	0
1899	0	0
1900	0	0
1901	0	0
1902	0	1
1903	1	1
1904	0	2
1905	1	0
1906	0	0
1907	1	1
1908	2	1
1909	3	1
1910	4	4
1911	4	3
1912	3	1
1913	7	1
1914	8	1
1915	9	1
1916	11	1
1917	12	1
1918	1	2
1919	2	1
1920	6	1
1921	7	2
1922	11	3
1923	15	3
1924	8	5
1925	10	5
1926	9	5
1927	10	6
1928	13	3
1929	15	5
1930	17	5
1931	20	5
1932	20	5
1933	21	5
1934	22	8
1935	22	8
1936	23	11
1937	27	13
1938	27	13
1939	32	13
1940	33	15
1941	33	17
1942	34	19
1943	36	21
1944	39	24
1945	40	24
1946	43	25
1947	44	26
1948	47	28
1949	6	8
1950	6	8
1951	7	8
1952	10	8
1953	12	10
1954	13	10
1955	15	10
1956	18	11
1957	21	11
1958	21	11
1959	22	12
1960	27	13
1961	30	15
1962	31	15
1963	32	16
1964	33	18
1965	33	20
1966	34	20
1967	34	22
1968	37	23
1969	40	25
1970	42	25
1971	47	30
1972	50	27
1973	53	31
1974	55	31
1975	55	34
1976	56	38
1977	57	39
1978	61	41
1979	61	42
1980	61	43
1981	61	44
1982	63	45
1983	64	46
1984	64	48
1985	68	50
1986	69	50
1987	75	51
1988	76	51
1989	13	2
1990	13	2
1991	14	3
1992	18	5
1993	19	8
1994	15	9
1995	14	9
1996	15	12
1997	15	12
1998	16	12
1999	17	12
2000	19	13
2001	21	13
2002	25	14
2003	25	16
2004	26	10
2005	26	11
2006	29	12
2007	33	13
2008	35	13
2009	37	15
2010	39	17
2011	22	7
2012	23	6
2013	11	4
2014	12	4
2015	15	5
2016	17	8
2017	19	10
2018	21	11
2019	23	8
2020	24	13
2021	15	15
2022	14	16
2023	12	12
2024	14	12
2025	16	10
2026	16	13
2027	18	14
2028	19	12
2029	18	12
2030	19	12
2031	19	9
2032	18	9
2033	21	10
2034	20	10
2035	22	11
2036	23	8
2037	25	9
2038	27	11
2039	20	14
2040	21	14
2041	22	9
2042	25	13
2043	20	15
2044	18	18
2045	17	18
2046	16	13
2047	17	14
2048	15	13
2049	17	15
2050	17	12
2051	18	12
2052	19	13
2053	24	14
2054	25	16
2055	26	17
2056	32	14
2057	33	14
2058	33	17
2059	34	12
2060	36	14
2061	16	14
2062	18	15
2063	21	18
2064	22	19
2065	26	22
2066	27	23
2067	28	24
2068	29	24
2069	30	26
2070	21	26
2071	22	5
2072	23	6
2073	23	4
2074	20	4
2075	19	3
2076	17	5
2077	17	7
2078	16	7
2079	14	6
2080	15	8
2081	13	8
2082	11	8
2083	11	6
2084	12	5
2085	10	4
2086	9	8
2087	7	9
2088	8	10
2089	8	11
2090	10	12
2091	11	14
2092	11	10
2093	13	13
2094	15	14
2095	16	17
2096	16	18
2097	17	22
2098	17	22
2099	18	25
2100	19	26
2101	22	28
2102	23	30
2103	26	32
2104	29	34
2105	31	35
2106	34	37
2107	35	39
2108	35	39
2109	37	42
2110	39	45
2111	7	21
2112	7	22
2113	8	24
2114	11	19
2115	13	19
2116	14	20
2117	18	20
2118	10	26
2119	13	27
2120	14	27
